# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,app_version,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120505,16,75,5068,64,12632,4879,54,51,0
20120505,15,0,0,0,27,0,0,0,0
20120505,14,0,0,0,21,0,0,0,0
20120505,13,0,4,0,15,4,0,0,0
20120505,12,0,1,0,6,1,0,0,0
20120505,11,0,3,0,11,3,0,0,0
20120505,10,0,0,0,16,0,0,0,0
20120504,16,85,5051,76,12561,4868,43,43,0
20120504,15,0,0,0,27,0,0,0,0
20120504,14,0,0,0,21,0,0,0,0
20120504,13,0,4,0,15,4,0,0,0
20120504,12,0,1,0,6,1,0,0,0
20120504,11,0,3,0,11,3,0,0,0
20120504,10,0,0,0,16,0,0,0,0
20120503,16,69,5005,60,12478,4826,43,40,0
20120503,15,0,0,0,27,0,0,0,0
20120503,14,0,0,0,21,0,0,0,0
20120503,13,0,4,0,15,4,0,0,0
20120503,12,0,1,0,6,1,0,0,0
20120503,11,0,3,0,11,3,0,0,0
20120503,10,0,0,0,16,0,0,0,0
20120502,16,87,4978,76,12406,4800,42,38,0
20120502,15,0,0,0,27,0,0,0,0
20120502,14,0,0,0,21,0,0,0,0
20120502,13,0,4,0,15,4,0,0,0
20120502,12,0,1,0,6,1,0,0,0
20120502,11,0,3,0,11,3,0,0,0
20120502,10,0,0,0,16,0,0,0,0
20120501,16,66,4931,61,12327,4758,52,50,0
20120501,15,0,0,0,27,0,0,0,0
20120501,14,0,0,0,21,0,0,0,0
20120501,13,0,4,0,15,4,0,0,0
20120501,12,0,1,0,6,1,0,0,0
20120501,11,0,3,0,11,3,0,0,0
20120501,10,0,0,0,16,0,0,0,0
20120430,16,74,4927,67,12264,4753,50,48,0
20120430,15,0,0,0,27,0,0,0,0
20120430,14,0,0,0,21,0,0,0,0
20120430,13,0,4,0,15,4,0,0,0
20120430,12,0,1,0,6,1,0,0,0
20120430,11,0,3,0,11,3,0,0,0
20120430,10,0,0,0,16,0,0,0,0
20120429,16,88,4907,79,12191,4735,51,49,0
20120429,15,0,0,0,27,0,0,0,0
20120429,14,0,0,0,21,0,0,0,0
20120429,13,0,5,0,15,5,0,0,0
20120429,12,0,1,0,6,1,0,0,0
20120429,11,0,3,0,11,3,0,0,0
20120429,10,0,0,0,16,0,0,0,0
20120428,16,78,4868,70,12099,4698,54,52,0
20120428,15,0,0,0,27,0,0,0,0
20120428,14,0,0,0,21,0,0,0,0
20120428,13,0,5,0,15,5,0,0,0
20120428,12,0,1,0,6,1,0,0,0
20120428,11,0,3,0,11,3,0,0,0
20120428,10,0,0,0,16,0,0,0,0
20120427,16,85,4839,78,12021,4670,46,44,0
20120427,15,0,0,0,27,0,0,0,0
20120427,14,0,0,0,21,0,0,0,0
20120427,13,0,5,0,15,5,0,0,0
20120427,12,0,1,0,6,1,0,0,0
20120427,11,0,3,0,11,3,0,0,0
20120427,10,0,0,0,16,0,0,0,0
20120426,16,72,4807,63,11939,4639,31,31,0
20120426,15,0,0,0,27,0,0,0,0
20120426,14,0,0,0,21,0,0,0,0
20120426,13,0,5,0,15,5,0,0,0
20120426,12,0,1,0,6,1,0,0,0
20120426,11,0,3,0,11,3,0,0,0
20120426,10,0,0,0,16,0,0,0,0
20120425,16,75,4769,71,11870,4601,59,59,0
20120425,15,0,0,0,27,0,0,0,0
20120425,14,0,0,0,21,0,0,0,0
20120425,13,0,5,0,15,5,0,0,0
20120425,12,0,1,0,6,1,0,0,0
20120425,11,0,3,0,11,3,0,0,0
20120425,10,0,0,0,16,0,0,0,0
20120424,16,63,4763,54,11797,4594,44,42,0
20120424,15,0,0,0,27,0,0,0,0
20120424,14,0,0,0,21,0,0,0,0
20120424,13,0,5,0,15,5,0,0,0
20120424,12,0,1,0,6,1,0,0,0
20120424,11,0,3,0,11,3,0,0,0
20120424,10,0,0,0,16,0,0,0,0
20120423,16,78,4739,67,11740,4567,50,46,0
20120423,15,0,0,0,27,0,0,0,0
20120423,14,0,0,0,21,0,0,0,0
20120423,13,0,5,0,15,5,0,0,0
20120423,12,0,1,0,6,1,0,0,0
20120423,11,0,3,0,11,3,0,0,0
20120423,10,0,0,0,16,0,0,0,0
20120422,16,76,4715,69,11667,4549,47,46,0
20120422,15,0,1,0,27,1,0,0,0
20120422,14,0,0,0,21,0,0,0,0
20120422,13,0,5,0,15,5,0,0,0
20120422,12,0,1,0,6,1,0,0,0
20120422,11,0,3,0,11,3,0,0,0
20120422,10,0,0,0,16,0,0,0,0
20120421,16,91,4694,83,11595,4530,72,71,0
20120421,15,0,1,0,27,1,0,0,0
20120421,14,0,0,0,21,0,0,0,0
20120421,13,0,5,0,15,5,0,0,0
20120421,12,0,1,0,6,1,0,0,0
20120421,11,0,3,0,11,3,0,0,0
20120421,10,0,0,0,16,0,0,0,0
20120420,16,76,4676,67,11508,4514,58,57,0
20120420,15,0,1,0,27,1,0,0,0
20120420,14,0,0,0,21,0,0,0,0
20120420,13,0,5,0,15,5,0,0,0
20120420,12,0,1,0,6,1,0,0,0
20120420,11,0,3,0,11,3,0,0,0
20120420,10,0,0,0,16,0,0,0,0
20120419,16,70,4666,58,11436,4503,42,40,0
20120419,15,0,1,0,27,1,0,0,0
20120419,14,0,0,0,21,0,0,0,0
20120419,13,0,5,0,15,5,0,0,0
20120419,12,0,1,0,6,1,0,0,0
20120419,11,0,3,0,11,3,0,0,0
20120419,10,0,0,0,16,0,0,0,0
20120418,16,84,4649,77,11372,4490,54,54,0
20120418,15,0,1,0,27,1,0,0,0
20120418,14,0,0,0,21,0,0,0,0
20120418,13,0,5,0,15,5,0,0,0
20120418,12,0,1,0,6,1,0,0,0
20120418,11,0,3,0,11,3,0,0,0
20120418,10,0,0,0,16,0,0,0,0
20120417,16,87,4630,77,11291,4473,46,46,0
20120417,15,0,1,0,27,1,0,0,0
20120417,14,0,0,0,21,0,0,0,0
20120417,13,0,5,0,15,5,0,0,0
20120417,12,0,1,0,6,1,0,0,0
20120417,11,0,3,0,11,3,0,0,0
20120417,10,0,0,0,16,0,0,0,0
