# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,carrier,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120505,unknown,1,0,0,16,0,0,0,0
20120505,swisscom,1,14,1,26,13,0,0,0
20120505,o2,1,46,1,92,44,0,0,0
20120505,nTelos,1,10,1,69,10,0,0,0
20120505,life:),0,0,0,1,0,0,0,0
20120505,au,0,20,0,32,20,0,0,0
20120505,Xfera,1,12,1,31,12,0,0,0
20120505,Wind,0,27,0,76,27,0,0,0
20120505,West Central Wireless,0,0,0,2,0,0,0,0
20120505,Wataniya Telecom,0,4,0,8,4,0,0,0
20120505,WIND Mobile,0,2,0,5,1,0,0,0
20120505,Voxmobile S.A.,0,1,0,2,1,0,0,0
20120505,Vodafone - RO,0,8,0,29,8,0,0,0
20120505,Vodafone - PT,0,7,0,11,7,0,0,0
20120505,Vodafone - NZ,0,9,0,12,9,0,0,0
20120505,Vodafone - NL,0,16,0,39,16,0,0,0
20120505,Vodafone - MT,0,0,0,1,0,0,0,0
20120505,Vodafone - IT,0,36,0,94,34,0,0,0
20120505,Vodafone - IE,0,5,0,10,5,0,0,0
20120505,Vodafone - HU,0,3,0,8,3,0,0,0
20120505,Vodafone - GR,0,3,0,9,3,0,0,0
20120505,Vodafone - GB,1,33,1,80,31,0,0,0
20120505,Vodafone - ES,0,24,0,68,24,0,0,0
20120505,Vodafone - EG,0,3,0,6,3,0,0,0
20120505,Vodafone - DE,2,38,2,88,38,1,1,0
20120505,Vodafone - CZ,0,8,0,18,8,0,0,0
20120505,Vodafone - AU,0,12,0,46,12,0,0,0
20120505,Vodacom,0,17,0,32,17,0,0,0
20120505,Virgin Mobile,1,25,1,112,24,0,0,0
20120505,Vip mobile d.o.o.,0,1,0,2,1,0,0,0
20120505,Vinaphone,0,0,0,1,0,0,0,0
20120505,Viettel,0,0,0,3,0,0,0,0
20120505,Verizon Wireless,1,447,1,1133,430,3,3,0
20120505,VIPnet/VIPnet d.o.o.,0,3,0,8,3,0,0,0
20120505,VIBO Telecom,0,0,0,1,0,0,0,0
20120505,Uzdunrobita,0,1,0,1,1,0,0,0
20120505,Usha Martin Telecom Ltd.,0,0,0,1,0,0,0,0
20120505,Umniah,0,0,0,1,0,0,0,0
20120505,Ukrtelecom,0,2,0,4,2,0,0,0
20120505,"Ukrainian Mobile Communication, UMC",1,6,0,18,6,0,0,0
20120505,UNKNOWN,30,1983,24,4079,1884,9,8,0
20120505,U.S. Cellular,0,27,0,64,27,0,0,0
20120505,Tusmobil d.o.o.,0,1,0,3,1,0,0,0
20120505,Turkcell,0,11,0,29,11,0,0,0
20120505,Tunisie Telecom,0,3,0,4,3,0,0,0
20120505,True Move,0,1,0,3,1,0,0,0
20120505,TransAsia Telecoms,0,0,0,1,0,0,0,0
20120505,Total Access Communication,0,5,0,13,5,0,0,0
20120505,Tikiphone,0,0,0,1,0,0,0,0
20120505,Tess,0,7,0,18,7,0,0,0
20120505,Telus Mobility,0,15,0,64,14,0,0,0
20120505,Telstra,1,27,1,46,26,0,0,0
20120505,Telsim GSM,0,8,0,22,8,0,0,0
20120505,Telkomsel,1,8,1,21,8,0,0,0
20120505,Telia Sonera AB,0,17,0,46,17,0,0,0
20120505,Telia,0,3,0,12,3,0,0,0
20120505,Telesur,0,0,0,1,0,0,0,0
20120505,Telestet,0,1,0,3,1,0,0,0
20120505,Telest Cel,0,0,0,5,0,0,0,0
20120505,Telenor d.o.o.,1,5,1,17,5,0,0,0
20120505,Telenor Sverige AB,0,10,0,19,10,0,0,0
20120505,Telenor Mobil AS,0,7,0,25,7,0,0,0
20120505,Telems Cel,0,9,0,26,9,0,0,0
20120505,Telekom Srbija a.d.,0,4,0,9,4,0,0,0
20120505,Telekom,0,21,0,73,21,0,0,0
20120505,Telefónica O2 Czech Republic a.s.,0,5,0,14,4,0,0,0
20120505,Telefónica Móviles Colombia S.A.,0,0,0,7,0,0,0,0
20120505,Telefónica Móvil,0,1,0,6,1,1,1,0
20120505,"Telecomunicaciones Movilnet, C.A.",0,2,0,3,2,0,0,0
20120505,Telecom Personal S.A.,0,1,0,4,1,0,0,0
20120505,Telecom New Zealand - UMTS Ntework,0,2,0,8,2,0,0,0
20120505,Telecom Italia Mobile (TIM),0,22,0,65,20,0,0,0
20120505,Telecel,0,1,0,1,1,0,0,0
20120505,Teleacre Cel,0,5,0,21,4,0,0,0
20120505,Tele2/Tele2 d.o.o.,0,2,0,8,2,0,0,0
20120505,Tele2 Sverige AB,0,17,0,38,17,0,0,0
20120505,Tele2 (Netherlands) B.V.,0,0,0,2,0,0,0,0
20120505,Tele2,0,3,0,11,3,0,0,0
20120505,Tele Greenland,0,0,0,1,0,0,0,0
20120505,"Telcel, C.A.",0,2,0,4,2,0,0,0
20120505,Tango,0,0,0,1,0,0,0,0
20120505,Tal hf,0,1,0,1,1,0,0,0
20120505,Taiwan Mobile Co. Ltd,0,9,0,13,9,0,0,0
20120505,TSC Kazak Telecom,0,2,0,2,2,0,0,0
20120505,"TMN - Telecomunicações Móveis Nacionais, S.A.",0,8,0,12,8,0,0,0
20120505,TELCEL,1,22,1,68,22,0,0,0
20120505,TDC Switzerland AG,0,5,0,10,5,0,0,0
20120505,TDC Mobil,0,5,0,11,5,0,0,0
20120505,T-Mobile - US,0,178,0,534,171,8,8,0
20120505,T-Mobile - SK,0,4,0,7,4,0,0,0
20120505,T-Mobile - PL,0,7,0,26,7,1,1,0
20120505,T-Mobile - NL,0,18,0,37,18,0,0,0
20120505,T-Mobile - MK,0,1,0,3,1,0,0,0
20120505,T-Mobile - HU,0,8,0,26,8,0,0,0
20120505,T-Mobile - HR,0,2,0,4,2,0,0,0
20120505,T-Mobile - CZ,0,2,0,12,2,0,0,0
20120505,T-Mobile - AT,0,7,0,19,7,0,0,0
20120505,T-Mobile,2,30,1,93,28,0,0,0
20120505,Sterling Cellular Ltd.,0,3,0,14,3,0,0,0
20120505,Starhub,0,5,0,23,5,0,0,0
20120505,Sprint,3,206,3,712,197,3,3,0
20120505,Spring Mobil AB,0,1,0,1,1,0,0,0
20120505,Spice Communications Ltd.,0,1,0,3,1,0,0,0
20120505,Sonofon,0,1,0,5,1,0,0,0
20120505,Sonera Carrier Networks Oy,0,3,0,9,3,0,0,0
20120505,SoftBank,0,5,0,11,5,0,0,0
20120505,Société Réunionnaise du Radiotéléphone,0,1,0,1,1,0,0,0
20120505,Smart Communications,0,2,0,12,2,0,0,0
20120505,Singtel,0,10,0,52,10,1,0,0
20120505,Sea Mobile,0,3,0,14,3,0,0,0
20120505,Saunalahti Group Ltd.,0,9,0,14,9,0,0,0
20120505,Saudi Telecom,0,10,0,24,10,0,0,0
20120505,Satelindo,0,2,0,7,2,0,0,0
20120505,Safaricom Ltd.,0,0,0,1,0,0,0,0
20120505,SK Telecom,0,11,0,45,11,0,0,0
20120505,SI Mobil,0,1,0,5,1,0,0,0
20120505,SFR,1,46,0,110,44,0,0,0
20120505,Rogers Wireless,1,34,1,88,34,0,0,0
20120505,Reliance Telecom Private Ltd.,0,1,0,1,1,0,0,0
20120505,Reliable Internet Services Ltd.,0,0,0,1,0,0,0,0
20120505,RLE,0,0,0,3,0,0,0,0
20120505,QATARNET,0,2,0,4,2,0,0,0
20120505,Proximus,0,2,0,8,2,0,0,0
20120505,Plus GSM (Polkomtel S.A.),0,9,0,22,9,0,0,0
20120505,Pine Telephone Company dba Pine Cellular,0,0,0,1,0,0,0,0
20120505,Personal,0,0,0,1,0,0,0,0
20120505,Pelephone Communications Ltd.,0,4,0,9,3,0,0,0
20120505,Partner Communications Co. Ltd.,0,12,0,22,11,0,0,0
20120505,Pannon GSM,0,4,0,19,4,0,0,0
20120505,PR Claro,0,2,0,6,2,0,0,0
20120505,PAK Telecom Mobile Ltd. (UFONE),0,0,0,1,0,0,0,0
20120505,Otecel S.A. - Bellsouth,0,2,0,4,2,0,0,0
20120505,Orascom Telecom Algérie,0,3,0,4,2,0,0,0
20120505,"Orange, GSM",0,4,0,13,4,0,0,0
20120505,Orange Tunisie,0,1,0,3,1,0,0,0
20120505,Orange Romania,0,4,0,21,4,0,0,0
20120505,Orange Moldova GSM,0,1,0,1,1,0,0,0
20120505,Orange La Réunion,0,1,0,3,1,0,0,0
20120505,Orange Communications SA,0,9,0,23,9,1,1,0
20120505,Orange - GB,0,56,0,131,55,0,0,0
20120505,Orange - FR,2,48,2,136,47,0,0,0
20120505,Orange - AT,0,2,0,7,2,0,0,0
20120505,Optus,1,31,1,60,29,0,0,0
20120505,"Optimus - Telecomunicações, S.A.",0,3,0,7,3,0,0,0
20120505,Omnitel,0,1,0,4,1,0,0,0
20120505,Oman Qatari Telecommunications Company (Nawras),0,1,0,1,1,0,0,0
20120505,Oman Mobile Telecommunications Company (Oman Mobile),0,3,0,5,2,0,0,0
20120505,OPT Mobilis,0,2,0,2,2,0,0,0
20120505,O2 UK Ltd.,1,56,0,145,56,1,1,0
20120505,O2 - IE,0,0,0,6,0,0,0,0
20120505,Nuevatel S.A.,0,0,0,1,0,0,0,0
20120505,Nov Operator,0,0,0,2,0,0,0,0
20120505,Nizhegorodskaya Cellular Communications,0,1,0,1,1,0,0,0
20120505,New Cell Inc. dba Cellcom,0,1,0,1,0,0,0,0
20120505,Network Norway,0,5,0,6,5,0,0,0
20120505,Netia Mobile,0,15,0,45,15,0,0,0
20120505,Netcom GSM AS,0,9,0,14,9,0,0,0
20120505,Nepal Telecommunications,0,0,0,1,0,0,0,0
20120505,Ncell,0,1,0,1,1,0,0,0
20120505,Natrindo (Lippo Telecom),0,4,0,8,4,0,0,0
20120505,NZ Communications - UMTS Network,0,0,0,11,0,0,0,0
20120505,NTT DOCOMO,0,24,0,47,23,0,0,0
20120505,Méditélécom (GSM),0,1,0,5,1,0,0,0
20120505,Movistar,0,21,0,49,19,0,0,0
20120505,Moldcell GSM,0,0,0,1,0,0,0,0
20120505,Mobitel,0,2,0,7,2,0,0,0
20120505,Mobistar,0,5,0,8,5,0,0,0
20120505,Mobilink,0,0,0,1,0,1,1,0
20120505,Mobilecom,0,0,0,1,0,0,0,0
20120505,MobileOne,0,5,0,13,5,0,0,0
20120505,Mobile Telesystems,0,20,0,71,20,1,1,0
20120505,Mobile Telephone Networks,2,14,2,35,14,1,1,0
20120505,Mobile Telecommunications Ltd.,0,0,0,1,0,0,0,0
20120505,Mobile Telecommunications Company,0,2,0,6,2,0,0,0
20120505,Mobile Comms System,0,1,0,1,1,0,0,0
20120505,Mobifone,0,1,0,3,1,0,0,0
20120505,MetroPCS,1,18,1,125,18,3,3,0
20120505,Meteor Mobile Communications Ltd.,0,4,0,10,4,0,0,0
20120505,Megafon,0,21,0,60,21,1,1,0
20120505,Maxis,0,6,0,27,6,0,0,0
20120505,Manx Telecom,0,0,0,1,0,0,0,0
20120505,Mahanagar Telephone Nigam Ltd.,0,0,0,3,0,0,0,0
20120505,Magti GSM Ltd.,0,0,0,2,0,0,0,0
20120505,MTS,0,1,0,4,1,0,0,0
20120505,MTN Network Ltd.,0,1,0,2,1,0,0,0
20120505,MTEL d.o.o. Podgorica,1,0,1,2,0,1,1,0
20120505,MTC Touch,0,0,0,3,0,0,0,0
20120505,MITV Corporation Sdn. Bhd.,0,1,0,4,1,0,0,0
20120505,MDC Velcom,0,0,0,1,0,0,0,0
20120505,M-Tel GSM BG,1,2,1,5,2,1,1,0
20120505,Latvian Mobile Phone,0,2,0,5,2,0,0,0
20120505,LG U+,0,9,0,32,9,0,0,0
20120505,Kyivstar GSM,0,2,0,11,2,0,0,0
20120505,Kar-Tel llc,0,0,0,2,0,0,0,0
20120505,KT,0,15,0,37,14,0,0,0
20120505,KPN,0,6,0,21,6,0,0,0
20120505,K Telecom CJSC,0,2,0,3,2,0,0,0
20120505,Jersey Telenet Ltd,0,0,0,1,0,0,0,0
20120505,Iusacell,0,2,0,2,2,0,0,0
20120505,Ittissalat Al Maghrid,0,1,0,7,1,0,0,0
20120505,Instituto Costarricense de Electricidad - ICE,0,0,0,2,0,0,0,0
20120505,Info Quest S.A.,0,0,0,1,0,0,0,0
20120505,Indosat - M3,0,1,0,2,1,0,0,0
20120505,Idea Cellular Ltd.,0,1,0,5,1,0,0,0
20120505,Idea (Polska Telefonia Komórkowa Centertel Sp. Z.o.o),0,8,0,33,8,0,0,0
20120505,Iceland Telecom Ltd.,0,2,0,2,1,0,0,0
20120505,Hutchison Telecom,0,1,0,1,1,0,0,0
20120505,Hutchison 3G UK Ltd.,1,31,1,90,31,0,0,0
20120505,Hutchison 3G Austria,0,9,0,26,9,0,0,0
20120505,Hutchison 3G Australia Pty. Ltd.,0,5,0,7,5,0,0,0
20120505,Hutchison,0,2,0,4,2,0,0,0
20120505,Hutchinson Max Telecom,0,9,0,14,9,0,0,0
20120505,Hutchinson Essar South Ltd.,0,6,0,16,6,0,0,0
20120505,Hola Paraguay S.A.,0,0,0,1,0,0,0,0
20120505,Hi3G,0,3,0,6,2,0,0,0
20120505,Hexicom India,0,1,0,2,1,0,0,0
20120505,H3G Access AB,0,8,0,13,8,0,0,0
20120505,H3G,1,26,1,50,24,1,1,0
20120505,GramenPhone,0,1,0,1,1,0,0,0
20120505,Globul,0,0,0,6,0,0,0,0
20120505,Globe Telecom,0,8,0,20,8,0,0,0
20120505,Global Telecom,0,15,0,34,15,0,0,0
20120505,Geocell Ltd.,0,0,0,2,0,0,0,0
20120505,GSMBIH,0,1,0,2,1,0,0,0
20120505,GSM900/SmarTone,0,0,0,1,0,0,0,0
20120505,GSM900/HKCSL,0,3,0,8,3,0,0,0
20120505,GSM1800/Peoples Telephone Company Ltd.,0,3,0,6,3,0,0,0
20120505,GCI Communications Corp.,0,0,0,1,0,0,0,0
20120505,Fastlink,0,0,0,4,0,0,0,0
20120505,Fascel Ltd.,0,2,0,4,2,0,0,0
20120505,Faroese Telecom - GSM,0,1,0,1,1,0,0,0
20120505,Far EasTone Telecommunications Co Ltd,0,3,0,6,3,0,0,0
20120505,Excelcomindo,0,5,0,14,4,0,0,0
20120505,Euskaltel,0,7,0,11,7,0,0,0
20120505,Etisalat,0,3,0,7,3,0,0,0
20120505,Etihad Etisalat Company (Mobily),0,10,0,30,10,1,1,0
20120505,Escotel Mobile Communications Pvt Ltd.,0,0,0,1,0,0,0,0
20120505,Escorts Telecom Ltd.,0,1,0,1,1,0,0,0
20120505,Entel Telefonica Móvil,0,4,0,6,4,0,0,0
20120505,Elisa Matkapuhelinpalvelut Ltd.,0,1,0,2,1,0,0,0
20120505,Edge Wireless LLC,0,0,0,1,0,0,0,0
20120505,East Kentucky Network LLC dba Appalachian Wireless,0,1,0,2,1,0,0,0
20120505,ETH MTN,0,1,0,1,1,0,0,0
20120505,ENTEL S.A.,0,0,0,1,0,0,0,0
20120505,EMT GSM,0,2,0,3,2,0,0,0
20120505,EMS - Mobinil,0,3,0,8,3,1,1,0
20120505,ECC,0,2,0,8,2,0,0,0
20120505,E-Plus,3,46,3,109,46,0,0,0
20120505,Digitel,0,5,0,18,5,0,0,0
20120505,DhiMobile,0,0,0,1,0,0,0,0
20120505,Daewoo Unitel,0,0,0,1,0,0,0,0
20120505,DST Com,0,3,0,5,2,1,0,0
20120505,DNA,0,5,0,11,5,0,0,0
20120505,DIGI,1,8,1,20,8,1,1,0
20120505,Cricket Wireless,1,12,1,92,11,1,1,0
20120505,Cosmote,0,5,0,28,5,0,0,0
20120505,Cosmorom,1,4,1,10,4,1,1,0
20120505,Coscom,0,1,0,1,1,0,0,0
20120505,Corporación Digitel,0,3,0,6,3,0,0,0
20120505,Comcel 3GSM,0,4,0,14,4,0,0,0
20120505,Colombia Móvil S.A.,0,0,0,4,0,0,0,0
20120505,Claro PER,0,2,0,5,2,0,0,0
20120505,Claro GTM,0,0,0,1,0,0,0,0
20120505,Claro DOM,0,0,0,1,0,0,0,0
20120505,Claro CHL,0,2,0,6,2,0,0,0
20120505,Claro,1,19,1,56,19,2,2,0
20120505,Cincinnati Bell Wireless LLC,0,1,0,4,1,0,0,0
20120505,Chungwa Telecom,0,8,0,19,8,0,0,0
20120505,China Unicom,0,23,0,50,22,0,0,0
20120505,China Mobile,0,15,0,24,15,0,0,0
20120505,Celtel Zambia Ltd.,0,0,0,1,0,0,0,0
20120505,Cellular South Inc.,0,3,0,15,3,0,0,0
20120505,Cellcom Israel Ltd.,0,10,0,15,9,0,0,0
20120505,Cell C (Pty) Ltd.,0,1,0,8,1,0,0,0
20120505,CelCom,0,7,0,19,7,0,0,0
20120505,Carolina West Wireless,0,1,0,1,1,0,0,0
20120505,Cable & Wireless Panama S.A.,0,2,0,3,2,0,0,0
20120505,CYTA,0,3,0,7,3,0,0,0
20120505,CTMR Cel,0,20,0,45,19,0,0,0
20120505,CLARO SLV,0,0,0,1,0,0,0,0
20120505,CLARO PA,0,0,0,1,0,0,0,0
20120505,CLARO CR,0,0,0,2,0,0,0,0
20120505,CLARO ARGENTINA,0,7,0,16,7,0,0,0
20120505,CAT CDMA,0,3,0,5,3,1,1,0
20120505,Bouygues Telecom,0,42,0,98,41,0,0,0
20120505,Boost Mobile,1,10,1,63,10,1,1,0
20120505,Bité GSM,0,2,0,4,2,0,0,0
20120505,Bharti Mobinet Ltd.,0,0,0,6,0,0,0,0
20120505,Bharti Mobile Ltd.,0,0,0,2,0,0,0,0
20120505,Bharti Cellular Ltd.,0,12,0,28,12,0,0,0
20120505,Bharat Sanchar Nigam Ltd. (BSNL),0,4,0,14,4,0,0,0
20120505,Bell Mobility,0,20,0,54,18,1,1,0
20120505,Bec Line GSM,0,17,0,48,17,0,0,0
20120505,Baykal Westcom,0,0,0,2,0,0,0,0
20120505,Base,0,5,0,19,3,0,0,0
20120505,Bakcell Limited Liabil ity Company,0,0,0,1,0,0,0,0
20120505,BTA Cellcom Ltd.,0,1,0,1,1,0,0,0
20120505,BT Ignite Nederland B.V.,0,6,0,10,6,0,0,0
20120505,BSE,0,0,0,1,0,0,0,0
20120505,BPL Mobile Communications Ltd.,0,2,0,4,2,0,0,0
20120505,BPL Cellular Ltd.,0,1,0,8,1,0,0,0
20120505,BCP,1,3,1,21,3,0,0,0
20120505,Azerphone LLC,0,0,0,1,0,0,0,0
20120505,Azercell Limited Liability Joint Venture,0,1,0,3,1,0,0,0
20120505,Aycell,0,0,0,2,0,0,0,0
20120505,Astelit,0,6,0,14,6,0,0,0
20120505,Aria,0,6,0,17,5,1,1,0
20120505,Android Emulator,0,0,0,11,0,0,0,0
20120505,Ancel,0,1,0,4,1,0,0,0
20120505,Amena,0,24,0,59,23,1,1,0
20120505,Alltel Communications Inc.,0,0,0,3,0,0,0,0
20120505,Algérie Telecom,0,1,0,2,1,0,0,0
20120505,Alfa,0,2,0,7,2,0,0,0
20120505,Aircell Digilink India Ltd.,0,0,0,1,0,0,0,0
20120505,Aircel Ltd.,0,1,0,2,1,0,0,0
20120505,Airadigm Communications,0,0,0,1,0,0,0,0
20120505,AirTel - Karnataka,0,3,0,16,3,0,0,0
20120505,ATL Algar,1,16,1,35,16,0,0,0
20120505,AT&T,1,229,1,629,222,1,1,0
20120505,AN Subsidiary LLC,0,0,0,1,0,0,0,0
20120505,AIS GSM,0,6,0,10,6,0,0,0
20120505,ACS Wireless Inc.,0,1,0,2,1,0,0,0
20120505,A1,1,2,1,9,1,1,1,0
20120505,3G Radio System/Sunday3G,0,3,0,7,3,0,0,0
20120505,3,0,5,0,9,5,0,0,0
20120504,unknown,0,0,0,14,0,0,0,0
20120504,swisscom,0,13,0,25,12,0,0,0
20120504,o2,0,49,0,96,47,0,0,0
20120504,nTelos,0,9,0,68,9,0,0,0
20120504,life:),0,0,0,1,0,0,0,0
20120504,au,1,20,1,32,20,0,0,0
20120504,Xfera,0,12,0,31,12,0,0,0
20120504,Wind,0,27,0,75,27,0,0,0
20120504,West Central Wireless,0,0,0,2,0,0,0,0
20120504,Wataniya Telecom,0,4,0,8,4,0,0,0
20120504,WIND Mobile,0,2,0,5,1,0,0,0
20120504,Voxmobile S.A.,0,1,0,2,1,0,0,0
20120504,Vodafone - RO,0,7,0,28,7,0,0,0
20120504,Vodafone - PT,0,8,0,12,8,0,0,0
20120504,Vodafone - NZ,0,10,0,13,10,0,0,0
20120504,Vodafone - NL,1,16,1,38,16,0,0,0
20120504,Vodafone - MT,0,0,0,1,0,0,0,0
20120504,Vodafone - IT,3,34,3,91,32,2,2,0
20120504,Vodafone - IE,0,5,0,10,5,0,0,0
20120504,Vodafone - HU,0,3,0,8,3,0,0,0
20120504,Vodafone - GR,0,2,0,8,2,0,0,0
20120504,Vodafone - GB,1,33,1,78,31,0,0,0
20120504,Vodafone - ES,1,23,1,69,23,0,0,0
