# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,country,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120505,unknown,1,0,0,16,0,0,0,0
20120505,ZZ,0,2,0,4,2,0,0,0
20120505,ZW,0,0,0,1,0,0,0,0
20120505,ZM,0,0,0,1,0,0,0,0
20120505,ZA,2,43,2,95,42,1,1,0
20120505,VN,0,3,0,11,3,0,0,0
20120505,VE,0,11,0,19,11,0,0,0
20120505,UZ,0,2,0,3,2,0,0,0
20120505,UY,0,1,0,4,1,0,0,0
20120505,US,18,1841,17,4932,1763,24,24,0
20120505,UA,1,23,0,64,22,0,0,0
20120505,TW,0,27,0,60,26,0,0,0
20120505,TT,0,1,0,1,1,0,0,0
20120505,TR,0,44,0,103,41,1,1,0
20120505,TN,0,4,0,8,4,0,0,0
20120505,TH,0,22,0,41,22,1,1,0
20120505,SZ,0,0,0,1,0,0,0,0
20120505,SV,0,0,0,2,0,0,0,0
20120505,SR,0,0,0,3,0,0,0,0
20120505,SK,0,14,0,36,14,0,0,0
20120505,SI,0,9,0,24,9,0,0,0
20120505,SG,0,27,0,106,27,1,0,0
20120505,SE,0,72,0,161,70,0,0,0
20120505,SA,1,28,1,80,28,1,1,0
20120505,RU,2,105,1,293,104,2,2,0
20120505,RS,1,14,1,36,14,0,0,0
20120505,RO,1,24,1,93,22,2,2,0
20120505,RE,0,3,0,6,3,0,0,0
20120505,QA,0,5,0,8,5,0,0,0
20120505,PY,0,2,0,5,2,0,0,0
20120505,PT,0,31,0,56,31,0,0,0
20120505,PR,0,9,0,16,8,0,0,0
20120505,PL,1,54,1,172,52,1,1,0
20120505,PK,1,4,1,11,4,1,1,0
20120505,PH,0,20,0,68,20,0,0,0
20120505,PF,0,0,0,1,0,0,0,0
20120505,PE,0,12,0,16,12,0,0,0
20120505,PA,0,5,0,9,5,0,0,0
20120505,OM,0,4,0,6,3,0,0,0
20120505,NZ,0,26,0,52,25,0,0,0
20120505,NP,0,2,0,3,2,0,0,0
20120505,NO,0,37,0,74,36,0,0,0
20120505,NL,0,74,0,187,72,1,1,0
20120505,NC,0,2,0,2,2,0,0,0
