# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,device,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120505,zoom2,0,0,0,1,0,0,0,0
20120505,zeus,0,1,0,2,1,0,0,0
20120505,wwe10,0,0,0,2,0,0,0,0
20120505,Motorola XOOM,0,47,0,84,47,0,0,0
20120505,Motorola XOOM,0,48,0,74,45,0,0,0
20120505,vt100,0,0,0,1,0,0,0,0
20120505,vortex,0,0,0,1,0,0,0,0
20120505,HTC Incredible 2,0,27,0,83,26,1,1,0
20120505,HTC Incredible S,0,19,0,38,19,0,0,0
20120505,HTC G2,0,33,0,75,30,0,0,0
20120505,ville,0,2,0,2,2,0,0,0
20120505,vigor,0,8,0,20,8,0,0,0
20120505,viewpad7,0,3,0,7,3,0,0,0
20120505,viewpad4,0,1,0,1,1,0,0,0
20120505,victor,0,2,0,6,2,0,0,0
20120505,vibrantmtd,0,0,0,2,0,0,0,0
20120505,venue,0,0,0,1,0,0,0,0
20120505,Acer Picasso,0,15,0,17,14,0,0,0
20120505,Acer Iconia Tab A100 (VanGogh),0,43,0,79,40,0,0,0
20120505,LG Optimus Pad,0,0,0,2,0,0,0,0
20120505,LG Optimus Pad,0,1,0,2,1,0,0,0
20120505,ZTE V9,0,1,0,7,1,0,0,0
20120505,utv210,0,0,0,1,0,0,0,0
20120505,unknown,1,0,0,16,0,0,0,0
20120505,univa_tlf-es,0,1,0,1,1,0,0,0
20120505,univa_tcl-mx,0,2,0,6,2,0,0,0
20120505,univa_open-eu,0,1,0,4,1,0,0,0
20120505,umts_spyder,0,15,0,29,14,0,0,0
20120505,umts_solana,0,3,0,5,3,0,0,0
20120505,Motorola Droid,1,4,1,21,4,1,1,0
20120505,umts_sage,0,1,0,5,1,0,0,0
20120505,Motorola Milestone2,0,6,0,16,5,0,0,0
20120505,umts_kobe,0,3,0,6,3,0,0,0
20120505,Motorola Defy,0,5,0,28,4,0,0,0
20120505,Motorola XOOM,1,5,1,14,5,0,0,0
20120505,Motorola XOOM,0,21,0,33,20,0,0,0
20120505,umts_begonia,0,0,0,2,0,0,0,0
20120505,u8800,0,3,0,4,3,0,0,0
20120505,tostab05,0,1,0,1,1,0,0,0
20120505,tostab04,0,2,0,3,2,0,0,0
20120505,Toshiba AT100,2,90,2,161,87,0,0,0
20120505,toroplus,0,1,0,2,1,0,0,0
20120505,Samsung Galaxy Nexus,0,25,0,38,24,0,0,0
20120505,LG Optimus One,0,20,0,176,20,0,0,0
20120505,LG Optimus One,2,27,2,223,27,1,1,0
20120505,thunder_kor-08,0,0,0,1,0,0,0,0
20120505,Fujitsu Toshiba REGZA Phone T01C,0,1,0,4,1,0,0,0
20120505,tf201,0,1,0,1,0,0,0,0
20120505,tf101,0,1,0,0,0,0,0,0
20120505,tenderloin,0,23,0,53,21,0,0,0
20120505,tcc8900,0,2,0,10,2,0,0,0
20120505,LG Swift,0,3,0,30,3,0,0,0
20120505,HTC Evo 4G,1,57,1,222,52,0,0,0
20120505,Motorola Photon 4G,1,26,1,42,25,0,0,0
20120505,su760,0,0,0,2,0,0,0,0
20120505,LG Optimus One,0,0,0,1,0,0,0,0
20120505,Dell Streak 7,0,9,0,21,9,0,0,0
20120505,Dell Streak,0,7,0,16,6,0,0,0
20120505,Motorola XOOM,0,14,0,28,14,0,0,0
20120505,star_450-05,0,1,0,1,1,0,0,0
20120505,HTC EVO Shift 4G,0,8,0,38,8,1,1,0
20120505,Pantech Izar,0,1,0,1,1,0,0,0
20120505,smdkv210,0,0,0,11,0,0,0,0
20120505,smba1002,0,0,0,4,0,0,0,0
20120505,smb_a1002,0,0,0,3,0,0,0,0
20120505,skate,0,3,0,13,2,0,0,0
20120505,HTC Shooter,1,20,1,43,20,0,0,0
20120505,shooterk,0,4,0,7,4,0,0,0
20120505,HTC EVO 3D,1,29,1,82,29,0,0,0
20120505,Motorola Motoroi,0,0,0,5,0,0,0,0
20120505,Motorola Droid,0,10,0,42,9,0,0,0
20120505,SEMC Xperia X8,0,1,0,3,1,0,0,0
20120505,sdkDemo,0,2,0,4,2,0,0,0
20120505,HTC Desire S,0,44,0,82,42,0,0,0
20120505,s5pv210bena,0,0,0,4,0,0,0,0
20120505,s300,0,0,0,1,0,0,0,0
20120505,s220,0,1,0,2,1,0,0,0
20120505,s200,0,0,0,1,0,0,0,0
20120505,HTC Sensation XL,0,7,0,16,7,0,0,0
20120505,ruby,0,4,0,8,4,0,0,0
20120505,roamer,1,5,1,16,5,0,0,0
20120505,rk29sdk,1,6,0,33,6,0,0,0
20120505,rider,0,0,0,1,0,0,0,0
20120505,qsd8k_slim,0,6,0,18,6,0,0,0
20120505,qsd8k_s7,0,1,0,3,1,0,0,0
20120505,HTC Sensation 4G,2,74,2,187,74,1,1,0
20120505,HTC Puccini,0,0,0,1,0,0,0,0
20120505,primou,0,1,0,2,1,0,0,0
20120505,presto,0,3,0,4,3,0,0,0
20120505,pororo,0,0,0,1,0,0,0,0
20120505,HTC Explorer,1,2,1,21,2,1,1,0
20120505,picasso_e,1,14,1,21,13,0,0,0
20120505,Acer Picasso,2,172,0,332,164,2,1,0
20120505,pasteur,0,4,0,8,4,0,0,0
20120505,HTC Nexus One,0,6,0,31,5,0,0,0
20120505,pandigitalstar1,0,0,0,2,0,0,0,0
20120505,LG Optimus 2X,1,17,1,47,15,1,1,0
20120505,p990h_CTM-xxx,0,0,0,1,0,0,0,0
20120505,p990h_730-03,0,0,0,1,0,0,0,0
20120505,p990h_724-05,0,1,0,1,1,0,0,0
20120505,p990hN,0,1,0,1,1,0,0,0
20120505,p990_esa-xxx,0,1,0,2,1,0,0,0
20120505,p990_EUR-xx,0,6,0,21,6,0,0,0
20120505,p990_CIS-xxx,0,0,0,1,0,0,0,0
20120505,p990_262-xx,0,3,0,5,3,0,0,0
20120505,p990_262-02,0,1,0,2,1,0,0,0
20120505,p990_232-10,0,0,0,1,0,0,0,0
20120505,p990_214-01,0,0,0,1,0,0,0,0
20120505,LG Optimus 2X,0,16,0,47,15,0,0,0
20120505,p970,0,0,0,1,0,1,1,0
20120505,p925g,0,0,0,5,0,0,0,0
20120505,p925,0,11,0,34,11,1,1,0
20120505,p920,0,12,0,25,12,0,0,0
20120505,p745,0,0,0,2,0,0,0,0
20120505,p5wifi,0,0,0,1,0,0,0,0
20120505,p500,0,1,0,3,1,0,0,0
20120505,p4wifi,0,5,0,12,5,0,0,0
20120505,p4,0,0,0,1,0,0,0,0
20120505,Samsung Galaxy Tab 10.1,0,7,0,10,7,0,0,0
20120505,otter,0,0,0,7,0,0,0,0
20120505,one_touch_990_gsm,0,3,0,9,3,0,0,0
20120505,one_touch_990S_gsm,0,0,0,1,0,0,0,0
20120505,one_touch_990A_gsm,0,0,0,2,0,0,0,0
20120505,one_touch_918D_umts,0,0,0,1,0,0,0,0
20120505,omap4sdp,0,0,0,1,0,0,0,0
20120505,Motorola Atrix,0,41,0,111,36,0,0,0
20120505,npm702,0,0,0,6,0,0,0,0
20120505,npm701,0,0,0,1,0,0,0,0
20120505,Sony Tablet S,3,58,3,90,55,0,0,0
20120505,Foxconn Commtiva N700,0,1,0,1,1,0,0,0
20120505,mt73_w690_b63_pulid_original_v8,0,0,0,1,0,0,0,0
20120505,mt13_w698_i180_xunf_original_v7,0,0,0,1,0,0,0,0
20120505,msm7627a_sku3,0,0,0,1,0,0,0,0
20120505,msm7627_surf,0,2,0,7,2,0,0,0
20120505,msm7627_kb60,0,0,0,1,0,0,0,0
20120505,msm7627_ffa,0,1,0,5,1,0,0,0
20120505,msm7627_7x_surf,0,1,0,1,1,0,0,0
20120505,msm7230,0,2,0,9,2,0,0,0
20120505,moon,0,5,0,9,5,0,0,0
20120505,mione_plus,0,2,0,2,2,0,0,0
20120505,miler,0,0,0,2,0,0,0,0
20120505,mid,0,0,0,2,0,0,0,0
20120505,mi_350,0,0,0,1,0,0,0,0
20120505,mi410,0,0,0,1,0,0,0,0
20120505,mercury,0,0,0,10,0,0,0,0
20120505,HTC Thunderbolt,0,31,0,66,29,0,0,0
20120505,maya,0,3,0,8,3,0,0,0
20120505,HTC Wildfire S,0,0,0,12,0,0,0,0
20120505,HTC Wildfire S,0,14,0,134,14,1,1,0
20120505,Samsung Galaxy Nexus,1,60,0,106,59,0,0,0
20120505,m9,0,0,0,4,0,0,0,0
20120505,m801,0,6,0,21,6,0,0,0
20120505,m799ca,0,10,0,17,9,0,0,0
20120505,m7206,0,5,0,11,5,0,0,0
20120505,m702sa,0,0,0,1,0,0,0,0
20120505,m57te,0,0,0,1,0,0,0,0
20120505,m3_mpcs_us,0,1,0,1,1,0,0,0
20120505,m1ref,0,0,0,1,0,0,0,0
20120505,LG Optimus Big,0,0,0,1,0,0,0,0
20120505,LG Optimus One,0,0,0,1,0,0,0,0
20120505,lu3100,0,0,0,2,0,0,0,0
20120505,LG Optimus Mach,0,0,0,1,0,0,0,0
20120505,Acer Liquid,0,1,0,2,1,0,0,0
20120505,HTC Aria,0,3,0,11,3,0,0,0
20120505,LG Optimus Black,0,11,0,40,11,0,0,0
20120505,lgp930,0,1,0,2,1,0,0,0
20120505,lgl55c,0,3,0,11,3,0,0,0
20120505,lgl45c,0,1,0,5,1,0,0,0
20120505,lge_325_skt,0,0,0,1,0,0,0,0
20120505,LG myTouch Q,0,3,0,14,3,0,0,0
20120505,lgc729,0,4,0,10,4,0,0,0
20120505,lexikon,0,4,0,11,4,0,0,0
20120505,lephone_001w,0,1,0,1,1,0,0,0
20120505,leo,0,3,0,19,3,0,0,0
20120505,HTC Legend,0,7,0,25,7,0,0,0
20120505,LG Optimus Black,0,0,0,1,0,0,0,0
20120505,LG Optimus One,0,0,0,1,0,0,0,0
20120505,kingdom,0,7,0,25,7,0,0,0
20120505,Motorola Defy,0,0,0,1,0,0,0,0
20120505,jmasai,0,2,0,2,2,0,0,0
20120505,infuse4g,0,1,0,2,1,0,0,0
20120505,HTC Droid Incredible,1,24,1,71,20,1,1,0
20120505,icx1216,0,1,0,2,1,0,0,0
20120505,icong,0,1,0,1,1,0,0,0
20120505,LG Optimus LTE,0,1,0,5,1,0,0,0
