# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,language,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120505,zh_TW,0,36,0,70,36,0,0,0
20120505,zh_HK,0,7,0,16,7,0,0,0
20120505,zh_CN,0,14,0,42,14,0,0,0
20120505,vi_VN,0,1,0,5,1,0,0,0
20120505,unknown,1,0,0,16,0,0,0,0
20120505,uk_UA,0,1,0,5,1,0,0,0
20120505,tr_TR,0,31,0,82,28,1,1,0
20120505,th_TH,0,14,0,27,14,1,1,0
20120505,sv_SE,0,52,0,121,50,0,0,0
20120505,sv_GB,0,1,0,1,1,0,0,0
20120505,sv,0,0,0,1,0,0,0,0
20120505,sr_RS,0,2,0,9,2,0,0,0
20120505,sr_CS,1,0,1,3,0,1,1,0
20120505,sl_SL,0,0,0,1,0,0,0,0
20120505,sl_SI,0,4,0,15,4,0,0,0
20120505,sl,0,0,0,1,0,0,0,0
20120505,sk_SK,0,10,0,27,10,0,0,0
20120505,sk,0,0,0,1,0,0,0,0
20120505,ru_UA,0,4,0,10,4,0,0,0
20120505,ru_SK,0,1,0,1,1,0,0,0
20120505,ru_RU,2,132,1,366,131,2,2,0
20120505,ru_PL,0,1,0,1,1,0,0,0
20120505,ru_CZ,0,1,0,1,1,0,0,0
20120505,ru,0,1,0,3,1,0,0,0
20120505,ro_RO,0,10,0,37,10,1,1,0
20120505,pt_PT,0,30,0,59,30,0,0,0
20120505,pt_BR,3,133,3,363,129,2,2,0
20120505,pl_PL,1,53,1,166,51,1,1,0
20120505,pl_IE,0,1,0,1,1,0,0,0
20120505,pl_GB,0,1,0,1,1,0,0,0
20120505,no_NO,0,4,0,7,4,0,0,0
20120505,nl_NL,0,57,0,150,56,1,1,0
20120505,nl_FR,0,0,0,2,0,0,0,0
20120505,nl_BE,0,5,0,12,5,0,0,0
20120505,nl,0,0,0,1,0,0,0,0
20120505,nb_NO,0,26,0,52,25,0,0,0
20120505,nb_NB,0,1,0,1,1,0,0,0
20120505,ms_MY,0,0,0,1,0,0,0,0
20120505,mk_MK,0,0,0,1,0,0,0,0
20120505,md_US,0,4,0,20,4,0,0,0
20120505,lv_LV,0,2,0,8,2,0,0,0
20120505,lt_LT,0,2,0,7,2,0,0,0
20120505,ko_KR,0,40,0,116,39,0,0,0
20120505,ko,0,0,0,1,0,0,0,0
20120505,ja_JP,0,55,0,104,51,0,0,0
20120505,ja,0,1,0,1,1,0,0,0
20120505,iw_IL,0,5,0,12,5,0,0,0
20120505,it_IT,4,159,3,398,152,1,1,0
20120505,it_FR,0,0,0,1,0,0,0,0
20120505,it_DE,0,0,0,1,0,0,0,0
20120505,it_CH,0,1,0,1,1,0,0,0
20120505,is_IS,0,1,0,1,1,0,0,0
20120505,in_ID,0,6,0,14,6,0,0,0
20120505,id_ID,0,1,0,2,1,0,0,0
20120505,hu_HU,0,24,0,73,24,0,0,0
20120505,hr_HR,0,3,0,12,3,0,0,0
20120505,he_IL,0,11,0,24,11,0,0,0
20120505,hd_US,0,1,0,5,1,0,0,0
20120505,gl_ES,0,0,0,1,0,0,0,0
20120505,fr_NL,0,0,0,1,0,0,0,0
20120505,fr_LU,0,0,0,2,0,0,0,0
20120505,fr_IT,0,1,0,1,1,0,0,0
20120505,fr_FR,5,344,3,769,325,1,1,0
20120505,fr_CH,0,17,0,29,17,0,0,0
20120505,fr_CA,1,9,1,19,9,0,0,0
20120505,fr_BE,0,3,0,10,2,0,0,0
20120505,fi_FI,0,15,0,35,15,0,0,0
20120505,et_EE,0,3,0,5,3,0,0,0
20120505,es_VE,0,0,0,2,0,0,0,0
20120505,es_US,2,75,2,167,74,1,1,0
20120505,es_PE,0,0,0,1,0,0,0,0
20120505,es_MX,0,9,0,34,9,0,0,0
20120505,es_GT,0,0,0,1,0,0,0,0
20120505,es_ES,2,203,2,429,196,1,1,0
20120505,es_DE,0,1,0,1,1,0,0,0
20120505,es_CR,0,0,0,4,0,0,0,0
20120505,es_CO,0,0,0,5,0,0,0,0
20120505,es_CL,0,1,0,9,1,0,0,0
20120505,es_BO,0,0,0,1,0,0,0,0
20120505,es_AR,0,3,0,10,3,0,0,0
20120505,es,0,0,0,1,0,0,0,0
20120505,en_ZA,2,10,2,25,10,1,1,0
20120505,en_US,27,2234,23,5768,2140,26,25,0
