# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,os_version,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120505,Android 2.3,0,47,0,153,45,0,0,0
20120505,Android 2.2,7,506,7,1780,494,8,8,0
20120505,Android 2.1,2,21,2,318,20,2,2,0
20120505,Android 1.6,0,0,0,1,0,0,0,0
20120505,Android 4.0.3 - 4.0.4,20,861,12,1520,820,6,4,0
20120505,Android 4.0 - 4.0.2,0,50,0,97,49,0,0,0
20120505,Android 3.2,4,665,4,1190,632,1,1,0
20120505,Android 3.1,6,240,6,421,231,1,1,0
20120505,Android 3.0,0,23,0,37,22,0,0,0
20120505,Android 2.3.3+,35,2662,33,7190,2573,36,35,0
20120505,0,1,1,0,21,1,0,0,0
20120504,Android 2.3,0,47,0,154,45,0,0,0
20120504,Android 2.2,9,506,9,1774,494,7,7,0
20120504,Android 2.1,2,22,2,316,21,1,1,0
20120504,Android 1.6,0,0,0,1,0,0,0,0
20120504,Android 4.0.3 - 4.0.4,15,849,9,1498,810,4,4,0
20120504,Android 4.0 - 4.0.2,0,50,0,97,49,0,0,0
20120504,Android 3.2,9,666,8,1190,634,2,2,0
20120504,Android 3.1,4,237,4,415,228,1,1,0
20120504,Android 3.0,0,23,0,37,22,0,0,0
20120504,Android 2.3.3+,46,2658,44,7156,2572,28,28,0
20120504,0,0,1,0,19,1,0,0,0
20120503,Android 2.3,0,46,0,154,44,1,1,0
20120503,Android 2.2,6,504,6,1769,493,4,4,0
20120503,Android 2.1,0,20,0,314,19,0,0,0
20120503,Android 1.6,0,0,0,1,0,0,0,0
20120503,Android 4.0.3 - 4.0.4,12,833,8,1473,796,5,4,0
20120503,Android 4.0 - 4.0.2,1,52,1,99,51,0,0,0
20120503,Android 3.2,9,664,8,1186,632,4,4,0
20120503,Android 3.1,0,232,0,411,223,1,1,0
20120503,Android 3.0,0,23,0,38,23,0,0,0
