# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120505,75,5076,64,12728,4887,54,51,0
20120504,85,5059,76,12657,4876,43,43,0
20120503,69,5013,60,12574,4834,43,40,0
20120502,87,4986,76,12502,4808,42,38,0
20120501,66,4939,61,12423,4766,52,50,0
20120430,74,4935,67,12360,4761,50,48,0
20120429,88,4916,79,12287,4744,51,49,0
20120428,78,4877,70,12195,4707,54,52,0
20120427,85,4848,78,12117,4679,46,44,0
20120426,72,4816,63,12035,4648,31,31,0
20120425,75,4778,71,11966,4610,59,59,0
20120424,63,4772,54,11893,4603,44,42,0
20120423,78,4748,67,11836,4576,50,46,0
20120422,76,4725,69,11763,4559,47,46,0
20120421,91,4704,83,11691,4540,72,71,0
20120420,76,4686,67,11604,4524,58,57,0
20120419,70,4676,58,11532,4513,42,40,0
20120418,84,4659,77,11468,4500,54,54,0
20120417,87,4640,77,11387,4483,46,46,0
20120416,58,4612,55,11307,4457,46,46,0
20120415,76,4595,64,11244,4439,62,58,0
20120414,81,4590,74,11175,4437,58,57,0
20120413,66,4576,60,11097,4423,55,53,0
20120412,72,4558,67,11030,4407,48,46,0
20120411,78,4539,69,10959,4385,46,43,0
20120410,75,4510,68,10882,4358,48,46,0
20120409,65,4483,56,10806,4330,52,48,0
20120408,85,4482,77,10747,4330,67,63,0
20120407,73,4464,64,10665,4312,51,50,0
20120406,73,4444,68,10596,4297,55,54,0
20120405,70,4431,63,10526,4283,59,56,0
20120404,83,4419,75,10456,4268,50,47,0
20120403,74,4390,59,10379,4238,55,50,0
20120402,67,4373,57,10308,4223,41,41,0
20120401,92,4354,87,10244,4210,61,59,0
20120331,79,4321,72,10151,4176,47,44,0
20120330,93,4292,81,10076,4146,58,58,0
20120329,69,4253,61,9992,4114,62,60,0
20120328,73,4240,62,9927,4102,48,48,0
20120327,78,4220,75,9859,4083,51,51,0
20120326,72,4188,64,9780,4052,59,58,0
20120325,64,4179,57,9711,4045,59,57,0
